Start	End	StartM	EndM	length	lengthM	ch	iid1	iid2	SNP_Dens
16783	23315	0.7138410210609436	0.8709530234336853	6532	0.1571120023727417	1	VLI007	I7959	415.75436003311205
63876	66604	2.0509860515594482	2.1176319122314453	2728	0.06664586067199707	1	VLI007	I4790	409.32774706385294
86726	88645	2.402843952178955	2.469300985336304	1919	0.06645703315734862	2	VLI007	KBD001	288.75800029417996
42903	44741	1.2564959526062012	1.3253049850463867	1838	0.06880903244018555	2	VLI007	I15043	267.11609432929316
31080	35083	0.9392729997634888	1.050333023071289	4003	0.11106002330780028	2	VLI007	I4774	360.43572482474434
10484	13494	0.4485960006713867	0.5218219757080078	3010	0.0732259750366211	2	VLI007	I0430	411.0563223630231
30506	34228	0.924045979976654	1.0242589712142944	3722	0.10021299123764038	2	VLI007	I6791	371.4089315200486
33120	35405	0.9960219860076904	1.0594680309295654	2285	0.063446044921875	2	VLI007	I15045	360.14853294853293
52174	55706	1.5222619771957395	1.5998549461364746	3532	0.07759296894073486	2	VLI007	I4895	455.1958828508965
31460	34185	0.951654016971588	1.0226049423217771	2725	0.07095092535018921	2	VLI007	I6221	384.06828192167234
32683	35054	0.9812690019607544	1.0477279424667358	2371	0.06645894050598145	2	VLI007	I7024	356.76163085786857
50186	53196	1.3645110130310059	1.428470015525818	3010	0.06395900249481201	3	VLI007	I24879	470.6139687285076
63083	66439	1.6892369985580444	1.7514779567718506	3356	0.06224095821380615	3	VLI007	KBD001	539.1947836779253
48634	52131	1.3254599571228027	1.4090059995651243	3497	0.08354604244232178	3	VLI007	I23995	418.57159211511976
67349	69337	1.783619999885559	1.8659399747848509	1988	0.08231997489929199	3	VLI007	I4787	241.49667227572223
40623	43449	1.1247780323028564	1.1928479671478271	2826	0.0680699348449707	3	VLI007	I5508	415.16126119941435
67654	69256	1.8004560470581057	1.8634910583496087	1602	0.0630350112915039	3	VLI007	I5748	254.1444773590329
40688	43908	1.1267640590667725	1.2020659446716309	3220	0.0753018856048584	3	VLI007	I6221	427.61213403031286
53801	56840	1.575410008430481	1.6626520156860352	3039	0.0872420072555542	4	VLI007	I10111	348.34136622945755
39218	41514	1.1929060220718384	1.2629050016403198	2296	0.06999897956848145	4	VLI007	I10347	328.0047815202472
53801	56550	1.575410008430481	1.6542329788208008	2749	0.07882297039031982	4	VLI007	I4774	348.7562047442965
13634	15919	0.5319749712944031	0.5999000072479248	2285	0.06792503595352173	4	VLI007	Gyvakarai1_10bp_noUDG	336.40026360288283
9187	11589	0.3838779926300049	0.4610570073127746	2402	0.07717901468276978	4	VLI007	I6791	311.22449669420917
21267	23421	0.7336059808731079	0.7965930104255676	2154	0.06298702955245973	4	VLI007	I15045	341.97516779323706
62729	64485	1.858773946762085	1.928812980651856	1756	0.07003903388977051	4	VLI007	I6221	250.71733610198632
